list-none-m,1,1000,1,3000,5050808,1683
list-none-s,1,1000,1,3000,4968261,1656
add-m,1,1000,2000,169466,84,0
add-s,1,1000,2000,145206,72,0
list-none-m,2,1000,1,6000,27913774,4652
list-none-s,2,1000,1,6000,11777383,1962
add-m,2,1000,4000,231066,57,0
add-s,2,1000,4000,169917,42,0
list-none-m,4,1000,1,12000,103116072,8593
list-none-s,4,1000,1,12000,69372286,5781
add-m,4,1000,8000,796363,99,0
add-s,4,1000,8000,216653,27,0
list-none-m,8,1000,1,24000,430913679,17954
list-none-s,8,1000,1,24000,306085171,12753
add-m,8,1000,16000,1890729,118,0
add-s,8,1000,16000,1459085,91,0
list-none-m,12,1000,1,36000,1142371061,31732
list-none-s,12,1000,1,36000,624727314,17353
add-m,12,1000,24000,2627891,109,0
add-s,12,1000,24000,3677930,153,0
list-none-m,16,1000,1,48000,1971805300,41079
list-none-s,16,1000,1,48000,1191272635,24818
add-m,16,1000,32000,3730954,116,0
add-s,16,1000,32000,549959,17,0
list-none-m,24,1000,1,72000,4870222427,67641
list-none-s,24,1000,1,72000,1491817116,20719
add-m,24,1000,48000,5134988,106,0
add-s,24,1000,48000,11253336,234,0
list-none-m,1,1000,1,3000,5050266,1683
list-none-s,1,1000,1,3000,5021428,1673
add-m,1,1000,2000,167149,83,0
add-s,1,1000,2000,148620,74,0
list-none-m,2,1000,1,6000,28110976,4685
list-none-s,2,1000,1,6000,12868052,2144
add-m,2,1000,4000,200664,50,0
add-s,2,1000,4000,197476,49,0
list-none-m,4,1000,1,12000,105266920,8772
list-none-s,4,1000,1,12000,79795916,6649
add-m,4,1000,8000,703510,87,0
add-s,4,1000,8000,253893,31,0
list-none-m,8,1000,1,24000,471720787,19655
list-none-s,8,1000,1,24000,201604334,8400
add-m,8,1000,16000,1924083,120,0
add-s,8,1000,16000,1861261,116,0
list-none-m,12,1000,1,36000,926816690,25744
list-none-s,12,1000,1,36000,519561869,14432
add-m,12,1000,24000,3003049,125,0
add-s,12,1000,24000,3526077,146,0
list-none-m,16,1000,1,48000,2353970662,49041
list-none-s,16,1000,1,48000,939545445,19573
add-m,16,1000,32000,3610377,112,0
add-s,16,1000,32000,6445270,201,0
list-none-m,24,1000,1,72000,4948263392,68725
list-none-s,24,1000,1,72000,3269443534,45408
add-m,24,1000,48000,5272320,109,0
add-s,24,1000,48000,11233002,234,0
